Datetime,Load,CR,WR,NER,ER,NR
5/6/2024 0:00,6886.591756,3236.698125,1377.318351,1032.988763,688.6591756,550.9273405
5/6/2024 1:00,6435.45805,3024.665283,1287.09161,965.3187075,643.545805,514.836644
5/6/2024 2:00,6211.997981,2919.639051,1242.399596,931.7996971,621.1997981,496.9598385
5/6/2024 3:00,6074.700891,2855.109419,1214.940178,911.2051336,607.4700891,485.9760713
5/6/2024 4:00,5984.912852,2812.90904,1196.98257,897.7369278,598.4912852,478.7930281
5/6/2024 5:00,5957.792433,2800.162444,1191.558487,893.668865,595.7792433,476.6233947
5/6/2024 6:00,6092.904337,2863.665038,1218.580867,913.9356505,609.2904337,487.4323469
5/6/2024 7:00,6476.82984,3044.110025,1295.365968,971.5244761,647.682984,518.1463872
5/6/2024 8:00,6889.044199,3237.850774,1377.80884,1033.35663,688.9044199,551.1235359
5/6/2024 9:00,7410.997207,3483.168687,1482.199441,1111.649581,741.0997207,592.8797765
5/6/2024 10:00,7686.2813,3612.552211,1537.25626,1152.942195,768.62813,614.902504
5/6/2024 11:00,7825.683702,3678.07134,1565.13674,1173.852555,782.5683702,626.0546962
5/6/2024 12:00,7883.756982,3705.365781,1576.751396,1182.563547,788.3756982,630.7005585
5/6/2024 13:00,7804.112261,3667.932763,1560.822452,1170.616839,780.4112261,624.3289809
5/6/2024 14:00,7799.3177,3665.679319,1559.86354,1169.897655,779.93177,623.945416
5/6/2024 15:00,7867.753106,3697.84396,1573.550621,1180.162966,786.7753106,629.4202485
5/6/2024 16:00,7896.607057,3711.405317,1579.321411,1184.491059,789.6607057,631.7285646
5/6/2024 17:00,7947.434828,3735.294369,1589.486966,1192.115224,794.7434828,635.7947862
5/6/2024 18:00,7817.824254,3674.3774,1563.564851,1172.673638,781.7824254,625.4259403
5/6/2024 19:00,7626.554048,3584.480403,1525.31081,1143.983107,762.6554048,610.1243239
5/6/2024 20:00,7610.536886,3576.952336,1522.107377,1141.580533,761.0536886,608.8429508
5/6/2024 21:00,7610.59856,3576.981323,1522.119712,1141.589784,761.059856,608.8478848
5/6/2024 22:00,7484.438229,3517.685968,1496.887646,1122.665734,748.4438229,598.7550584
5/6/2024 23:00,7198.706211,3383.391919,1439.741242,1079.805932,719.8706211,575.8964969
5/7/2024 0:00,6675.839367,3137.644502,1335.167873,1001.375905,667.5839367,534.0671493
5/7/2024 1:00,6573.852898,3089.710862,1314.77058,986.0779347,657.3852898,525.9082319
5/7/2024 2:00,6363.696576,2990.937391,1272.739315,954.5544864,636.3696576,509.0957261
5/7/2024 3:00,6221.415544,2924.065306,1244.283109,933.2123316,622.1415544,497.7132435
5/7/2024 4:00,6146.706256,2888.95194,1229.341251,922.0059384,614.6706256,491.7365005
5/7/2024 5:00,6124.973859,2878.737714,1224.994772,918.7460788,612.4973859,489.9979087
5/7/2024 6:00,6243.503844,2934.446807,1248.700769,936.5255766,624.3503844,499.4803075
5/7/2024 7:00,6591.467746,3097.989841,1318.293549,988.7201619,659.1467746,527.3174197
5/7/2024 8:00,6916.853827,3250.921299,1383.370765,1037.528074,691.6853827,553.3483062
5/7/2024 9:00,7340.472215,3450.021941,1468.094443,1101.070832,734.0472215,587.2377772
5/7/2024 10:00,7567.657762,3556.799148,1513.531552,1135.148664,756.7657762,605.412621
5/7/2024 11:00,7678.837482,3609.053617,1535.767496,1151.825622,767.8837482,614.3069986
5/7/2024 12:00,7670.748461,3605.251777,1534.149692,1150.612269,767.0748461,613.6598769
5/7/2024 13:00,7605.829829,3574.74002,1521.165966,1140.874474,760.5829829,608.4663864
5/7/2024 14:00,7630.209538,3586.198483,1526.041908,1144.531431,763.0209538,610.416763
5/7/2024 15:00,7647.249257,3594.207151,1529.449851,1147.087389,764.7249257,611.7799406
5/7/2024 16:00,7595.056236,3569.676431,1519.011247,1139.258435,759.5056236,607.6044989
5/7/2024 17:00,7581.057657,3563.097099,1516.211531,1137.158649,758.1057657,606.4846126
5/7/2024 18:00,7546.463202,3546.837705,1509.29264,1131.96948,754.6463202,603.7170562
5/7/2024 19:00,7390.271826,3473.427758,1478.054365,1108.540774,739.0271826,591.2217461
5/7/2024 20:00,7390.605441,3473.584557,1478.121088,1108.590816,739.0605441,591.2484352
5/7/2024 21:00,7367.751538,3462.843223,1473.550308,1105.162731,736.7751538,589.4201231
5/7/2024 22:00,7250.600162,3407.782076,1450.120032,1087.590024,725.0600162,580.0480129
5/7/2024 23:00,6958.195465,3270.351869,1391.639093,1043.72932,695.8195465,556.6556372
5/8/2024 0:00,6628.635534,3115.458701,1325.727107,994.2953301,662.8635534,530.2908427
5/8/2024 1:00,6377.912128,2997.6187,1275.582426,956.6868191,637.7912128,510.2329702
5/8/2024 2:00,6159.911356,2895.158337,1231.982271,923.9867034,615.9911356,492.7929085
5/8/2024 3:00,6034.619891,2836.271349,1206.923978,905.1929837,603.4619891,482.7695913
5/8/2024 4:00,5943.900273,2793.633128,1188.780055,891.5850409,594.3900273,475.5120218
5/8/2024 5:00,5915.31744,2780.199197,1183.063488,887.297616,591.531744,473.2253952
5/8/2024 6:00,6013.535129,2826.361511,1202.707026,902.0302693,601.3535129,481.0828103
5/8/2024 7:00,6335.240724,2977.56314,1267.048145,950.2861085,633.5240724,506.8192579
5/8/2024 8:00,6679.448747,3139.340911,1335.889749,1001.917312,667.9448747,534.3558998
5/8/2024 9:00,7097.315061,3335.738079,1419.463012,1064.597259,709.7315061,567.7852049
5/8/2024 10:00,7341.740085,3450.61784,1468.348017,1101.261013,734.1740085,587.3392068
5/8/2024 11:00,7447.620718,3500.381737,1489.524144,1117.143108,744.7620718,595.8096574
5/8/2024 12:00,7482.160082,3516.615238,1496.432016,1122.324012,748.2160082,598.5728066
5/8/2024 13:00,7431.929407,3493.006821,1486.385881,1114.789411,743.1929407,594.5543526
5/8/2024 14:00,7494.781935,3522.547509,1498.956387,1124.21729,749.4781935,599.5825548
5/8/2024 15:00,7570.488963,3558.129813,1514.097793,1135.573345,757.0488963,605.6391171
5/8/2024 16:00,7589.750199,3567.182593,1517.95004,1138.46253,758.9750199,607.1800159
5/8/2024 17:00,7586.394055,3565.605206,1517.278811,1137.959108,758.6394055,606.9115244
5/8/2024 18:00,7579.490601,3562.360582,1515.89812,1136.92359,757.9490601,606.3592481
5/8/2024 19:00,7426.925376,3490.654927,1485.385075,1114.038806,742.6925376,594.1540301
5/8/2024 20:00,7393.010966,3474.715154,1478.602193,1108.951645,739.3010966,591.4408773
5/8/2024 21:00,7328.767745,3444.52084,1465.753549,1099.315162,732.8767745,586.3014196
5/8/2024 22:00,7192.568765,3380.507319,1438.513753,1078.885315,719.2568765,575.4055012
5/8/2024 23:00,6904.705884,3245.211766,1380.941177,1035.705883,690.4705884,552.3764707
5/9/2024 0:00,6901.679032,3243.789145,1380.335806,1035.251855,690.1679032,552.1343226
5/9/2024 1:00,6333.918759,2976.941817,1266.783752,950.0878138,633.3918759,506.7135007
5/9/2024 2:00,6121.599874,2877.151941,1224.319975,918.2399811,612.1599874,489.7279899
5/9/2024 3:00,5998.450255,2819.27162,1199.690051,899.7675383,599.8450255,479.8760204
5/9/2024 4:00,5910.012977,2777.706099,1182.002595,886.5019466,591.0012977,472.8010382
5/9/2024 5:00,5892.695108,2769.566701,1178.539022,883.9042662,589.2695108,471.4156087
5/9/2024 6:00,6031.5287,2834.818489,1206.30574,904.7293051,603.15287,482.522296
5/9/2024 7:00,6395.081284,3005.688203,1279.016257,959.2621925,639.5081284,511.6065027
5/9/2024 8:00,6759.707762,3177.062648,1351.941552,1013.956164,675.9707762,540.7766209
5/9/2024 9:00,7229.523447,3397.87602,1445.904689,1084.428517,722.9523447,578.3618757
5/9/2024 10:00,7432.913038,3493.469128,1486.582608,1114.936956,743.2913038,594.633043
5/9/2024 11:00,7590.526867,3567.547627,1518.105373,1138.57903,759.0526867,607.2421493
5/9/2024 12:00,7618.311653,3580.606477,1523.662331,1142.746748,761.8311653,609.4649323
5/9/2024 13:00,7550.192019,3548.590249,1510.038404,1132.528803,755.0192019,604.0153615
5/9/2024 14:00,7617.269184,3580.116516,1523.453837,1142.590378,761.7269184,609.3815347
5/9/2024 15:00,7675.424181,3607.449365,1535.084836,1151.313627,767.5424181,614.0339345
5/9/2024 16:00,7688.986444,3613.823629,1537.797289,1153.347967,768.8986444,615.1189155
5/9/2024 17:00,7766.933656,3650.458818,1553.386731,1165.040048,776.6933656,621.3546924
5/9/2024 18:00,7745.484393,3640.377665,1549.096879,1161.822659,774.5484393,619.6387514
5/9/2024 19:00,7576.052696,3560.744767,1515.210539,1136.407904,757.6052696,606.0842157
5/9/2024 20:00,7560.182734,3553.285885,1512.036547,1134.02741,756.0182734,604.8146187
5/9/2024 21:00,7567.87408,3556.900818,1513.574816,1135.181112,756.787408,605.4299264
5/9/2024 22:00,7473.616369,3512.599694,1494.723274,1121.042455,747.3616369,597.8893095
5/9/2024 23:00,7189.351664,3378.995282,1437.870333,1078.40275,718.9351664,575.1481331
5/10/2024 0:00,6858.125177,3223.318833,1371.625035,1028.718777,685.8125177,548.6500142
5/10/2024 1:00,6594.346491,3099.342851,1318.869298,989.1519737,659.4346491,527.5477193
5/10/2024 2:00,6363.967308,2991.064635,1272.793462,954.5950961,636.3967308,509.1173846
5/10/2024 3:00,6208.866787,2918.16739,1241.773357,931.3300181,620.8866787,496.709343
5/10/2024 4:00,6102.42504,2868.139769,1220.485008,915.363756,610.242504,488.1940032
5/10/2024 5:00,6076.26244,2855.843347,1215.252488,911.439366,607.626244,486.1009952
5/10/2024 6:00,6196.743011,2912.469215,1239.348602,929.5114516,619.6743011,495.7394409
5/10/2024 7:00,6539.954169,3073.778459,1307.990834,980.9931253,653.9954169,523.1963335
