Line,Bus0,Bus1,V_nom,From X,From Y,To X,To Y,Length,S_nom,S_nom_extendable,Carrier
Line 1,7,9,230kV,1.464964,103.799098,1.36567,103.927062,18.01,4492.030919,FALSE,AC
Line 2,7,10,230kV,1.464964,103.799098,1.320095,103.870883,17.98,4499.502753,FALSE,AC
Line 3,7,15,230kV,1.464964,103.799098,1.296886,103.789363,18.72,4320.711432,FALSE,AC
Line 4,7,8,230kV,1.464964,103.799098,1.376376,103.755486,10.98,7367.501759,FALSE,AC
Line 5,7,14,230kV,1.464964,103.799098,1.32882,103.684346,19.8,4085.96817,FALSE,AC
Line 6,14,13,230kV,1.32882,103.684346,1.311543,103.712233,3.65,22178.58861,FALSE,AC
Line 7,14,15,230kV,1.32882,103.684346,1.296886,103.789363,12.2,6628.778735,FALSE,AC
Line 8,8,15,230kV,1.376376,103.755486,1.296886,103.789363,9.61,8418.952775,FALSE,AC
Line 9,15,11,230kV,1.296886,103.789363,1.312877,103.844328,6.36,12710.64636,FALSE,AC
Line 10,13,12,230kV,1.311543,103.712233,1.271137,103.707447,4.52,17878.17741,FALSE,AC
Line 11,12,16,230kV,1.271137,103.707447,1.271418,103.800624,10.36,7808.887437,FALSE,AC
Line 12,16,11,230kV,1.271418,103.800624,1.312877,103.844328,6.7,12077.14508,FALSE,AC
Line 13,11,10,230kV,1.312877,103.844328,1.320095,103.870883,3.06,26440.82726,FALSE,AC
Line 14,16,17,230kV,1.271418,103.800624,1.333232,103.898959,12.91,6264.053353,FALSE,AC
Line 15,11,17,230kV,1.312877,103.844328,1.333232,103.898959,6.48,12480.36293,FALSE,AC
Line 16,10,17,230kV,1.320095,103.870883,1.333232,103.898959,3.45,23472.6624,FALSE,AC
Line 17,17,9,230kV,1.333232,103.898959,1.36567,103.927062,4.77,16951.16275,FALSE,AC
Line 18,6,3,400kV,1.288827,103.642432,1.296886,103.789363,16.36,14955.52914,FALSE,AC
Line 19,6,5,400kV,1.288827,103.642432,1.271418,103.800624,17.69,13828.20437,FALSE,AC
Line 20,3,5,400kV,1.296886,103.789363,1.271418,103.800624,3.1,79013.99821,FALSE,AC
Line 21,3,2,400kV,1.296886,103.789363,1.317361,103.85377,7.51,32562.76242,FALSE,AC
Line 22,2,1,400kV,1.317361,103.85377,1.333232,103.898959,5.32,45948.37948,FALSE,AC
Line 23,5,1,400kV,1.271418,103.800624,1.333232,103.898959,12.91,18946.09713,FALSE,AC
Line 24,3,15,400kV-230kV,1.296886,103.789363,1.296886,103.789363,0,2577000581,FALSE,AC
Line 25,5,16,400kV-230kV,1.271418,103.800623,1.271418,103.800624,0,2577000581,FALSE,AC
Line 26,2,10,400kV-230kV,1.317361,103.85377,1.320095,103.870883,1.93,126990.264,FALSE,AC
Line 27,4,16,400kV,1.27377,103.676869,1.271418,103.800624,13.76,17779.64896,FALSE,AC
Line 28,4,6,400kV,1.27377,103.676869,1.288827,103.642432,4.18,58551.18974,FALSE,AC
Line 29,24,8,66kV-230kV,1.361968,103.692828,1.376376,103.755486,7.15,931.9183637,FALSE,AC
Line 30,24,14,66kV-230kV,1.361968,103.692828,1.32882,103.684346,3.8,1750.666088,FALSE,AC
Line 31,18,10,66kV-230kV,1.306866,103.864836,1.320095,103.870883,1.62,4118.272486,FALSE,AC
Line 32,18,11,66kV-230kV,1.306866,103.864836,1.312877,103.844328,2.38,2803.556367,FALSE,AC
Line 33,18,19,66kV,1.306866,103.864836,1.280364,103.846013,3.61,1842.868415,FALSE,AC
Line 34,18,20,66kV,1.306866,103.864836,1.369593,103.85733,7.02,948.1674174,FALSE,AC
Line 35,19,11,66kV-230kV,1.280364,103.846013,1.312877,103.844328,3.62,1839.864863,FALSE,AC
Line 36,19,3,66kV-400kV,1.280364,103.846013,1.296886,103.789363,6.56,1015.312109,FALSE,AC
Line 37,20,23,66kV,1.369593,103.85733,1.422283,103.793822,9.17,726.0119879,FALSE,AC
Line 38,20,22,66kV,1.369593,103.85733,1.44384,103.814404,9.54,698.487994,FALSE,AC
Line 39,20,21,66kV,1.369593,103.85733,1.452225,103.831321,9.63,691.4736918,FALSE,AC
Line 40,20,10,66kV-230kV,1.369593,103.85733,1.320095,103.870883,5.71,1167.20559,FALSE,AC
Line 41,20,1,66kV-400kV,1.369593,103.85733,1.333232,103.898959,6.15,1083.880043,FALSE,AC
Line 42,21,22,66kV,1.452225,103.831321,1.44384,103.814404,2.1,3173.29827,FALSE,AC
Line 43,21,7,66kV-230kV,1.452225,103.831321,1.464964,103.799098,3.85,1729.206934,FALSE,AC
Line 44,22,23,66kV,1.44384,103.814404,1.422283,103.793822,3.31,2010.038847,FALSE,AC
Line 45,22,7,66kV-230kV,1.44384,103.814404,1.464964,103.799098,2.9,2296.466817,FALSE,AC
Line 46,23,7,66kV-230kV,1.422283,103.793822,1.464964,103.799098,4.78,1392.834657,FALSE,AC
Line 47,23,8,66kV-230kV,1.422283,103.793822,1.376376,103.755486,6.65,1001.642402,FALSE,AC
