Load,bus
demand_1,181
demand_100_220kV,32
demand_101,174
demand_102,62
demand_103,40
demand_104_220kV,40
demand_105_220kV,162
demand_106_220kV,92
demand_107_220kV,92
demand_108,40
demand_109,184
demand_10_220kV,160
demand_11,4
demand_110,134
demand_111,182
demand_112,39
demand_113,92
demand_114,193
demand_115,102
demand_116,128
demand_117_220kV,80
demand_118,35
demand_119,31
demand_120_220kV,173
demand_121,31
demand_122,31
demand_123_220kV,102
demand_124_220kV,102
demand_125_220kV,194
demand_126,3
demand_127,31
demand_128_220kV,60
demand_129_220kV,19
demand_12_220kV,187
demand_130,3
demand_131,128
demand_132,194
demand_133,80
demand_134,80
demand_135,147
demand_136,134
demand_137,140
demand_138_220kV,40
demand_139,40
demand_13_220kV,64
demand_14,148
demand_140,39
demand_141,92
demand_142,92
demand_143_220kV,39
demand_144,92
demand_145,194
demand_146,128
demand_147,184
demand_148,128
demand_149,35
demand_150,35
demand_151,102
demand_152,35
demand_153,171
demand_154,194
demand_155,147
demand_156_220kV,80
demand_157_220kV,118
demand_158,31
demand_159_220kV,56
demand_15_220kV,148
demand_16,11
demand_160_220kV,14
demand_161,56
demand_162,80
demand_163,102
demand_164,39
demand_165_220kV,27
demand_166,27
demand_167,117
demand_168,40
demand_169,40
demand_17,65
demand_170,159
demand_171,159
demand_172,159
demand_173,19
demand_174,159
demand_175,159
demand_176,171
demand_177,113
demand_178,71
demand_179,190
demand_180,36
demand_181,81
demand_183,0
demand_184_220kV,59
demand_185,59
demand_186,162
demand_187,162
demand_188,159
demand_189,122
demand_18_220kV,22
demand_19,196
demand_190,51
demand_191_220kV,162
demand_192,136
demand_193,159
demand_194,162
demand_195_220kV,162
demand_196,159
demand_197,162
demand_198,134
demand_199,117
demand_200,159
demand_201_220kV,156
demand_202,18
demand_204,147
demand_205,184
demand_206,102
demand_207,111
demand_208,39
demand_209,33
demand_20_220kV,165
demand_21,165
demand_210,124
demand_211,114
demand_212,175
demand_213,1
demand_214,42
demand_215,98
demand_216,170
demand_217,13
demand_218,13
demand_219,79
demand_220_220kV,79
demand_221,37
demand_223,10
demand_224,153
demand_225,176
demand_226,43
demand_227,186
demand_228,42
demand_229,42
demand_22_220kV,50
demand_23,165
demand_230,52
demand_231_220kV,46
demand_232_220kV,186
demand_233_220kV,63
demand_234,86
demand_235,7
demand_236_220kV,170
demand_238,175
demand_239,175
demand_240,1
demand_241,1
demand_242,26
demand_245,152
demand_246,152
demand_247_220kV,154
demand_248_220kV,117
demand_249,27
demand_24_220kV,45
demand_25,50
demand_250_220kV,27
demand_251_220kV,27
demand_252_220kV,27
demand_253,134
demand_254,70
demand_255,101
demand_256,12
demand_257,98
demand_258,149
demand_259,149
demand_260,51
demand_261_220kV,170
demand_262,95
demand_264_220kV,76
demand_265,8
demand_266,90
demand_267_220kV,128
demand_268,71
demand_269,89
demand_26_220kV,50
demand_27,97
demand_270,126
demand_271,126
demand_272_220kV,104
demand_275,60
demand_276,60
demand_277,112
demand_278,139
demand_279_220kV,87
demand_28,0
demand_280,54
demand_281_220kV,83
demand_282_220kV,21
demand_283,89
demand_284,89
demand_285,155
demand_286,58
demand_287,133
demand_288,103
demand_289,133
demand_29,61
demand_290,151
demand_291,17
demand_292_220kV,53
demand_293,41
demand_294,2
demand_295,11
demand_296,96
demand_297,144
demand_298,144
demand_299,77
demand_2_220kV,96
demand_3,124
demand_300,129
demand_301,144
demand_302,58
demand_303_220kV,179
demand_304,85
demand_305,25
demand_306,25
demand_307_220kV,25
demand_308_220kV,28
demand_309,100
demand_30_220kV,97
demand_31,164
demand_310,25
demand_311,78
demand_312_220kV,106
demand_313,180
demand_314,5
demand_315_220kV,137
demand_316,5
demand_318,5
demand_319,63
demand_320,177
demand_321,66
demand_322_220kV,66
demand_323,161
demand_324,73
demand_326,108
demand_327,87
demand_328,15
demand_329,15
demand_32_220kV,68
demand_33,88
demand_330,20
